src_ip,dst_ip,packet_rate,unique_ports,avg_packet_size,protocol,duration,connection_count,attack_type
198.51.100.130,172.16.1.47,7376.8,3,30.8,UDP,17.6,197,udp_flood
203.0.113.123,10.0.0.222,33.5,2,25.0,TCP,717.1,90,slowloris
203.0.113.159,192.168.1.16,4231.0,3,82.5,UDP,29.3,193,udp_flood
104.16.0.146,192.168.2.186,43.6,3,49.5,TCP,778.7,39,slowloris
104.16.0.18,172.16.1.29,690.6,46,378.2,IGMP,20.6,41,protocol_anomaly
91.189.0.244,10.0.0.40,54.1,3,27.7,TCP,379.9,58,slowloris
45.33.32.99,10.0.0.185,8733.8,2,100.7,UDP,24.0,131,udp_flood
45.33.32.131,172.16.1.214,6321.3,1,78.5,TCP,10.9,473,syn_flood
198.51.100.205,10.0.0.141,86.6,53,513.0,SCTP,69.3,17,protocol_anomaly
45.33.144.225,192.168.2.234,1726.4,1,2352.5,UDP,69.0,5,dns_amplification
203.0.113.202,10.0.0.248,8182.2,1,63.6,TCP,13.6,413,syn_flood
45.33.32.6,192.168.1.9,20.2,3,48.2,TCP,621.4,55,slowloris
104.16.0.12,10.0.0.198,78.5,1,40.1,TCP,261.7,68,slowloris
45.33.144.89,10.0.0.196,1585.8,17,541.0,SCTP,34.6,49,protocol_anomaly
10.10.10.191,172.16.1.219,1701.8,115,147.0,GRE,24.1,18,protocol_anomaly
45.33.32.35,192.168.1.180,1299.7,70,174.0,ESP,6.5,48,protocol_anomaly
45.33.144.219,172.16.1.10,99.3,23,375.7,TCP,156.2,23,stealth_probe
10.10.10.246,192.168.1.180,406.1,1,122.5,TCP,1.0,141,brute_force
45.33.32.2,10.0.0.50,2.7,3,26.0,TCP,350.0,27,slowloris
203.0.113.55,192.168.2.89,3274.0,2,93.1,UDP,26.1,194,udp_flood
91.189.0.72,192.168.1.204,5054.0,1,1304.5,UDP,26.2,5,dns_amplification
172.16.0.64,10.0.1.231,4462.9,1,75.0,ICMP,4.9,88,icmp_flood
45.33.144.135,192.168.1.41,11365.9,1,70.8,ICMP,28.8,72,icmp_flood
10.10.10.181,192.168.1.118,24.9,80,294.8,TCP,65.3,3,stealth_probe
172.16.0.228,172.16.1.200,763.8,161,128.9,UDP,16.1,111,port_scan
91.189.0.157,10.0.0.77,52.0,3,104.4,TCP,196.9,55,slowloris
203.0.113.155,192.168.2.114,179.8,5,215.9,UDP,49.0,27,stealth_probe
198.51.100.57,192.168.2.22,67.9,3,38.6,TCP,90.1,80,slowloris
104.16.0.45,10.0.1.91,245.5,38,109.0,TCP,12.8,189,port_scan
45.33.32.235,172.16.1.179,19.5,3,114.9,TCP,59.8,54,slowloris
172.16.0.158,10.0.0.56,9605.3,1,60.6,TCP,12.1,351,syn_flood
