src_ip,dst_ip,packet_rate,unique_ports,avg_packet_size,protocol,duration,connection_count
10.0.2.157,172.16.1.72,563.6,2,1147.8,UDP,39.2,3
192.168.2.86,192.168.2.243,201.3,9,408.1,UDP,17.4,11
192.168.2.24,10.0.1.32,74.7,7,1067.9,ICMP,4.3,10
192.168.1.154,192.168.1.115,155.6,9,835.7,TCP,12.3,8
10.1.0.160,192.168.1.93,66.8,1,379.9,UDP,12.3,4
10.0.2.244,10.0.0.11,365.8,3,1074.0,UDP,17.8,2
192.168.1.36,192.168.2.126,505.9,1,1324.5,UDP,23.5,1
10.0.2.190,10.0.1.152,89.7,8,611.3,ICMP,40.6,6
10.0.50.229,192.168.1.232,226.9,3,542.7,TCP,11.8,9
192.168.10.192,10.0.1.55,157.8,3,1299.7,TCP,4.0,12
192.168.2.127,192.168.2.246,31.7,1,609.0,UDP,18.3,13
192.168.2.228,192.168.2.56,189.7,3,678.4,UDP,4.0,2
10.2.0.84,10.0.1.26,1317.7,2,1381.9,TCP,8.3,4
10.0.10.67,10.0.1.152,1678.9,1,865.7,TCP,5.0,2
10.2.0.111,192.168.1.173,471.2,1,1318.7,UDP,56.4,1
10.0.2.89,10.0.1.146,77.0,7,735.2,TCP,56.0,4
10.0.51.62,10.0.0.239,305.6,2,439.0,TCP,0.8,10
192.168.50.40,172.16.1.135,112.2,20,1030.7,TCP,44.6,4
192.168.10.7,10.0.0.91,45.8,5,637.9,TCP,2.5,14
192.168.1.131,10.0.1.15,332.9,1,643.6,TCP,40.0,14
10.0.10.138,192.168.1.17,385.8,1,1094.9,UDP,83.5,4
192.168.10.14,192.168.2.217,140.1,6,1030.7,TCP,5.9,4
10.0.51.235,192.168.1.246,436.2,3,682.2,TCP,6.3,6
192.168.50.179,192.168.2.24,466.3,3,521.5,TCP,156.3,2
192.168.10.55,10.0.0.201,453.7,3,1041.6,TCP,61.4,3
10.2.0.17,192.168.1.218,1587.0,2,806.2,TCP,10.3,2
192.168.50.122,192.168.2.28,992.7,1,454.2,TCP,19.9,7
10.0.1.140,10.0.0.119,346.2,2,778.1,UDP,41.7,3
10.0.51.3,192.168.1.85,311.5,4,557.1,TCP,16.6,7
10.0.1.228,172.16.1.163,51.5,1,797.0,TCP,7.2,13
10.0.2.211,10.0.1.52,45.0,4,730.1,TCP,11.6,11
192.168.2.152,172.16.1.200,289.8,3,1255.5,TCP,219.3,2
192.168.1.31,172.16.1.28,199.3,18,1000.4,UDP,16.9,18
192.168.50.213,192.168.2.203,193.9,1,337.2,TCP,13.6,1
10.1.0.110,10.0.1.51,328.8,3,608.5,TCP,60.8,1
192.168.2.120,192.168.2.196,534.9,1,1107.9,TCP,44.2,1
192.168.50.209,172.16.1.179,160.9,2,270.1,UDP,14.0,6
10.0.2.243,10.0.0.253,65.8,9,980.1,TCP,46.2,2
192.168.100.124,10.0.1.116,8.6,1,90.2,TCP,5.4,1
10.2.0.114,192.168.2.131,526.7,2,724.7,TCP,211.0,3
10.1.0.62,10.0.0.59,11.1,1,53.2,ICMP,27.4,2
10.0.1.116,172.16.1.146,636.2,1,1025.2,UDP,25.8,1
192.168.10.21,172.16.1.89,129.4,9,1011.4,TCP,25.4,10
192.168.2.164,10.0.0.119,59.7,8,858.6,TCP,22.6,11
192.168.1.44,172.16.1.231,1108.4,3,604.3,TCP,5.6,4
10.0.50.233,192.168.1.109,317.2,5,674.9,TCP,0.9,5
10.0.2.243,10.0.1.203,142.5,1,180.9,TCP,3.7,6
10.0.1.248,192.168.2.144,465.0,3,272.3,TCP,8.2,5
10.0.10.138,10.0.1.4,35.2,1,54.2,ICMP,33.0,2
10.1.0.8,10.0.0.29,107.9,5,893.9,ICMP,14.2,3
10.0.2.227,10.0.0.65,60.3,1,360.2,UDP,13.3,3
10.0.10.192,10.0.1.152,33.1,1,74.6,ICMP,8.5,1
192.168.1.14,172.16.1.158,176.5,2,372.3,UDP,8.7,2
192.168.2.182,10.0.0.134,153.8,2,184.6,UDP,11.5,5
192.168.1.135,192.168.1.34,78.6,8,1217.9,UDP,12.7,10
10.0.2.70,10.0.0.157,176.2,4,368.7,TCP,93.9,3
10.0.10.30,10.0.0.40,376.2,2,1275.8,TCP,93.4,3
192.168.2.137,10.0.1.8,439.3,3,1415.7,TCP,40.0,1
10.0.2.132,192.168.2.230,46.1,1,68.5,ICMP,8.1,1
10.1.0.68,172.16.1.230,275.7,22,1008.2,UDP,47.2,15
192.168.10.54,192.168.2.86,124.8,8,533.0,ICMP,8.0,4
10.0.2.26,192.168.1.7,397.5,1,1395.5,UDP,58.2,2
10.0.2.129,192.168.1.63,280.4,8,687.2,TCP,13.2,6
10.0.2.147,192.168.1.47,334.1,4,358.6,TCP,224.4,3
10.0.1.8,192.168.1.48,40.9,5,1132.4,TCP,3.7,8
192.168.2.41,10.0.1.217,31.7,1,227.9,UDP,14.3,7
10.0.10.119,172.16.1.29,128.4,8,1477.0,TCP,30.9,6
192.168.10.161,10.0.0.26,37.4,5,736.9,TCP,4.3,13
192.168.2.250,192.168.2.38,419.6,1,1025.9,TCP,36.1,1
10.0.100.138,10.0.0.45,29.3,1,105.5,UDP,7.9,1
10.0.1.63,10.0.0.150,324.5,3,213.0,TCP,23.9,12
10.0.2.237,192.168.2.201,133.0,1,990.7,TCP,8.8,1
10.1.0.77,172.16.1.198,39.2,5,318.6,UDP,51.0,5
10.1.0.238,172.16.1.148,677.7,1,1269.5,TCP,74.8,3
10.0.2.241,10.0.1.123,1632.8,2,608.2,UDP,1.1,6
192.168.1.106,192.168.1.71,119.3,4,1500.0,UDP,88.7,1
192.168.1.147,172.16.1.23,98.6,1,281.2,UDP,13.5,2
10.0.10.42,192.168.2.53,150.6,6,489.4,UDP,10.9,3
192.168.10.60,10.0.1.252,117.8,2,746.6,TCP,23.8,7
192.168.50.74,192.168.2.72,254.8,7,693.0,TCP,17.0,8
10.1.0.166,192.168.2.173,385.4,2,996.9,TCP,80.3,2
10.0.10.198,192.168.1.198,52.6,9,1218.7,TCP,23.3,3
10.2.0.27,10.0.1.136,463.9,1,1258.3,TCP,75.4,4
192.168.100.173,10.0.1.133,14.4,1,80.7,UDP,5.1,1
192.168.2.208,10.0.0.198,386.9,1,1353.4,TCP,61.2,3
192.168.2.18,10.0.0.176,168.8,2,287.3,UDP,2.8,4
192.168.1.87,10.0.1.169,50.6,2,670.3,TCP,8.0,8
192.168.2.43,10.0.0.146,94.7,7,594.8,TCP,45.6,2
10.1.0.230,192.168.1.188,53.3,3,374.6,TCP,8.3,1
10.0.10.188,172.16.1.120,377.9,2,973.3,UDP,53.7,4
10.0.2.156,192.168.2.245,107.2,8,680.5,TCP,6.6,5
192.168.10.36,192.168.1.175,1126.3,2,696.4,TCP,4.8,5
10.0.2.5,10.0.1.22,373.7,2,777.7,TCP,106.3,2
10.1.0.44,172.16.1.248,448.9,8,1344.2,TCP,3.7,9
10.1.0.176,10.0.1.177,121.4,1,214.6,UDP,5.6,2
10.0.2.198,192.168.1.168,157.1,2,308.0,UDP,6.9,1
192.168.10.150,172.16.1.125,37.4,1,39.3,ICMP,24.9,1
10.0.2.253,10.0.0.180,160.3,2,379.4,UDP,3.5,2
192.168.100.38,192.168.2.122,27.9,1,131.5,TCP,4.8,1
192.168.2.30,10.0.0.130,27.0,4,1150.2,TCP,1.2,13
10.2.0.205,10.0.1.37,38.0,1,57.7,ICMP,33.9,2
10.0.1.249,10.0.1.237,74.6,6,1371.1,UDP,9.6,4
10.0.2.234,10.0.1.244,156.8,3,969.4,TCP,11.8,1
10.1.0.214,10.0.0.58,401.6,1,993.9,TCP,86.8,4
10.1.0.204,10.0.1.129,579.5,2,385.9,UDP,7.2,14
10.2.0.26,172.16.1.238,152.2,2,1106.9,UDP,9.9,12
